0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"00, 00, 032","00, 01, 032","00, 02, 032","00, 03, 032","00, 04, 032","00, 05, 032","00, 06, 032","00, 07, 032","00, 08, 032","00, 09, 032","00, 10, 032","00, 11, 032","00, 12, 032","00, 13, 032","00, 14, 032","00, 15, 032","00, 16, 032","00, 17, 032","00, 18, 032","00, 19, 032"
"00, 00, 033","00, 01, 033","00, 02, 033","00, 03, 033","00, 04, 033","00, 05, 033","00, 06, 033","00, 07, 033","00, 08, 033","00, 09, 033","00, 10, 033","00, 11, 033","00, 12, 033","00, 13, 033","00, 14, 033","00, 15, 033","00, 16, 033","00, 17, 033","00, 18, 033","00, 19, 033"
"00, 00, 034","00, 01, 034","00, 02, 034","00, 03, 034","00, 04, 034","00, 05, 034","00, 06, 034","00, 07, 034","00, 08, 034","00, 09, 034","00, 10, 034","00, 11, 034","00, 12, 034","00, 13, 034","00, 14, 034","00, 15, 034","00, 16, 034","00, 17, 034","00, 18, 034","00, 19, 034"
"00, 00, 035","00, 01, 035","00, 02, 035","00, 03, 035","00, 04, 035","00, 05, 035","00, 06, 035","00, 07, 035","00, 08, 035","00, 09, 035","00, 10, 035","00, 11, 035","00, 12, 035","00, 13, 035","00, 14, 035","00, 15, 035","00, 16, 035","00, 17, 035","00, 18, 035","00, 19, 035"
"00, 00, 036","00, 01, 036","00, 02, 036","00, 03, 036","00, 04, 036","00, 05, 036","00, 06, 036","00, 07, 036","00, 08, 036","00, 09, 036","00, 10, 036","00, 11, 036","00, 12, 036","00, 13, 036","00, 14, 036","00, 15, 036","00, 16, 036","00, 17, 036","00, 18, 036","00, 19, 036"
"00, 00, 037","00, 01, 037","00, 02, 037","00, 03, 037","00, 04, 037","00, 05, 037","00, 06, 037","00, 07, 037","00, 08, 037","00, 09, 037","00, 10, 037","00, 11, 037","00, 12, 037","00, 13, 037","00, 14, 037","00, 15, 037","00, 16, 037","00, 17, 037","00, 18, 037","00, 19, 037"
"00, 00, 038","00, 01, 038","00, 02, 038","00, 03, 038","00, 04, 038","00, 05, 038","00, 06, 038","00, 07, 038","00, 08, 038","00, 09, 038","00, 10, 038","00, 11, 038","00, 12, 038","00, 13, 038","00, 14, 038","00, 15, 038","00, 16, 038","00, 17, 038","00, 18, 038","00, 19, 038"
"00, 00, 039","00, 01, 039","00, 02, 039","00, 03, 039","00, 04, 039","00, 05, 039","00, 06, 039","00, 07, 039","00, 08, 039","00, 09, 039","00, 10, 039","00, 11, 039","00, 12, 039","00, 13, 039","00, 14, 039","00, 15, 039","00, 16, 039","00, 17, 039","00, 18, 039","00, 19, 039"
"00, 00, 040","00, 01, 040","00, 02, 040","00, 03, 040","00, 04, 040","00, 05, 040","00, 06, 040","00, 07, 040","00, 08, 040","00, 09, 040","00, 10, 040","00, 11, 040","00, 12, 040","00, 13, 040","00, 14, 040","00, 15, 040","00, 16, 040","00, 17, 040","00, 18, 040","00, 19, 040"
"00, 00, 041","00, 01, 041","00, 02, 041","00, 03, 041","00, 04, 041","00, 05, 041","00, 06, 041","00, 07, 041","00, 08, 041","00, 09, 041","00, 10, 041","00, 11, 041","00, 12, 041","00, 13, 041","00, 14, 041","00, 15, 041","00, 16, 041","00, 17, 041","00, 18, 041","00, 19, 041"
"00, 00, 042","00, 01, 042","00, 02, 042","00, 03, 042","00, 04, 042","00, 05, 042","00, 06, 042","00, 07, 042","00, 08, 042","00, 09, 042","00, 10, 042","00, 11, 042","00, 12, 042","00, 13, 042","00, 14, 042","00, 15, 042","00, 16, 042","00, 17, 042","00, 18, 042","00, 19, 042"
"00, 00, 043","00, 01, 043","00, 02, 043","00, 03, 043","00, 04, 043","00, 05, 043","00, 06, 043","00, 07, 043","00, 08, 043","00, 09, 043","00, 10, 043","00, 11, 043","00, 12, 043","00, 13, 043","00, 14, 043","00, 15, 043","00, 16, 043","00, 17, 043","00, 18, 043","00, 19, 043"
"00, 00, 044","00, 01, 044","00, 02, 044","00, 03, 044","00, 04, 044","00, 05, 044","00, 06, 044","00, 07, 044","00, 08, 044","00, 09, 044","00, 10, 044","00, 11, 044","00, 12, 044","00, 13, 044","00, 14, 044","00, 15, 044","00, 16, 044","00, 17, 044","00, 18, 044","00, 19, 044"
"00, 00, 045","00, 01, 045","00, 02, 045","00, 03, 045","00, 04, 045","00, 05, 045","00, 06, 045","00, 07, 045","00, 08, 045","00, 09, 045","00, 10, 045","00, 11, 045","00, 12, 045","00, 13, 045","00, 14, 045","00, 15, 045","00, 16, 045","00, 17, 045","00, 18, 045","00, 19, 045"
"00, 00, 046","00, 01, 046","00, 02, 046","00, 03, 046","00, 04, 046","00, 05, 046","00, 06, 046","00, 07, 046","00, 08, 046","00, 09, 046","00, 10, 046","00, 11, 046","00, 12, 046","00, 13, 046","00, 14, 046","00, 15, 046","00, 16, 046","00, 17, 046","00, 18, 046","00, 19, 046"
"00, 00, 047","00, 01, 047","00, 02, 047","00, 03, 047","00, 04, 047","00, 05, 047","00, 06, 047","00, 07, 047","00, 08, 047","00, 09, 047","00, 10, 047","00, 11, 047","00, 12, 047","00, 13, 047","00, 14, 047","00, 15, 047","00, 16, 047","00, 17, 047","00, 18, 047","00, 19, 047"
"00, 00, 048","00, 01, 048","00, 02, 048","00, 03, 048","00, 04, 048","00, 05, 048","00, 06, 048","00, 07, 048","00, 08, 048","00, 09, 048","00, 10, 048","00, 11, 048","00, 12, 048","00, 13, 048","00, 14, 048","00, 15, 048","00, 16, 048","00, 17, 048","00, 18, 048","00, 19, 048"
"00, 00, 049","00, 01, 049","00, 02, 049","00, 03, 049","00, 04, 049","00, 05, 049","00, 06, 049","00, 07, 049","00, 08, 049","00, 09, 049","00, 10, 049","00, 11, 049","00, 12, 049","00, 13, 049","00, 14, 049","00, 15, 049","00, 16, 049","00, 17, 049","00, 18, 049","00, 19, 049"
"00, 00, 050","00, 01, 050","00, 02, 050","00, 03, 050","00, 04, 050","00, 05, 050","00, 06, 050","00, 07, 050","00, 08, 050","00, 09, 050","00, 10, 050","00, 11, 050","00, 12, 050","00, 13, 050","00, 14, 050","00, 15, 050","00, 16, 050","00, 17, 050","00, 18, 050","00, 19, 050"
"00, 00, 051","00, 01, 051","00, 02, 051","00, 03, 051","00, 04, 051","00, 05, 051","00, 06, 051","00, 07, 051","00, 08, 051","00, 09, 051","00, 10, 051","00, 11, 051","00, 12, 051","00, 13, 051","00, 14, 051","00, 15, 051","00, 16, 051","00, 17, 051","00, 18, 051","00, 19, 051"
"00, 00, 052","00, 01, 052","00, 02, 052","00, 03, 052","00, 04, 052","00, 05, 052","00, 06, 052","00, 07, 052","00, 08, 052","00, 09, 052","00, 10, 052","00, 11, 052","00, 12, 052","00, 13, 052","00, 14, 052","00, 15, 052","00, 16, 052","00, 17, 052","00, 18, 052","00, 19, 052"
"00, 00, 053","00, 01, 053","00, 02, 053","00, 03, 053","00, 04, 053","00, 05, 053","00, 06, 053","00, 07, 053","00, 08, 053","00, 09, 053","00, 10, 053","00, 11, 053","00, 12, 053","00, 13, 053","00, 14, 053","00, 15, 053","00, 16, 053","00, 17, 053","00, 18, 053","00, 19, 053"
"00, 00, 054","00, 01, 054","00, 02, 054","00, 03, 054","00, 04, 054","00, 05, 054","00, 06, 054","00, 07, 054","00, 08, 054","00, 09, 054","00, 10, 054","00, 11, 054","00, 12, 054","00, 13, 054","00, 14, 054","00, 15, 054","00, 16, 054","00, 17, 054","00, 18, 054","00, 19, 054"
"00, 00, 055","00, 01, 055","00, 02, 055","00, 03, 055","00, 04, 055","00, 05, 055","00, 06, 055","00, 07, 055","00, 08, 055","00, 09, 055","00, 10, 055","00, 11, 055","00, 12, 055","00, 13, 055","00, 14, 055","00, 15, 055","00, 16, 055","00, 17, 055","00, 18, 055","00, 19, 055"
"00, 00, 056","00, 01, 056","00, 02, 056","00, 03, 056","00, 04, 056","00, 05, 056","00, 06, 056","00, 07, 056","00, 08, 056","00, 09, 056","00, 10, 056","00, 11, 056","00, 12, 056","00, 13, 056","00, 14, 056","00, 15, 056","00, 16, 056","00, 17, 056","00, 18, 056","00, 19, 056"
"00, 00, 057","00, 01, 057","00, 02, 057","00, 03, 057","00, 04, 057","00, 05, 057","00, 06, 057","00, 07, 057","00, 08, 057","00, 09, 057","00, 10, 057","00, 11, 057","00, 12, 057","00, 13, 057","00, 14, 057","00, 15, 057","00, 16, 057","00, 17, 057","00, 18, 057","00, 19, 057"
"00, 00, 058","00, 01, 058","00, 02, 058","00, 03, 058","00, 04, 058","00, 05, 058","00, 06, 058","00, 07, 058","00, 08, 058","00, 09, 058","00, 10, 058","00, 11, 058","00, 12, 058","00, 13, 058","00, 14, 058","00, 15, 058","00, 16, 058","00, 17, 058","00, 18, 058","00, 19, 058"
"00, 00, 059","00, 01, 059","00, 02, 059","00, 03, 059","00, 04, 059","00, 05, 059","00, 06, 059","00, 07, 059","00, 08, 059","00, 09, 059","00, 10, 059","00, 11, 059","00, 12, 059","00, 13, 059","00, 14, 059","00, 15, 059","00, 16, 059","00, 17, 059","00, 18, 059","00, 19, 059"
"00, 00, 060","00, 01, 060","00, 02, 060","00, 03, 060","00, 04, 060","00, 05, 060","00, 06, 060","00, 07, 060","00, 08, 060","00, 09, 060","00, 10, 060","00, 11, 060","00, 12, 060","00, 13, 060","00, 14, 060","00, 15, 060","00, 16, 060","00, 17, 060","00, 18, 060","00, 19, 060"
"00, 00, 061","00, 01, 061","00, 02, 061","00, 03, 061","00, 04, 061","00, 05, 061","00, 06, 061","00, 07, 061","00, 08, 061","00, 09, 061","00, 10, 061","00, 11, 061","00, 12, 061","00, 13, 061","00, 14, 061","00, 15, 061","00, 16, 061","00, 17, 061","00, 18, 061","00, 19, 061"
"00, 00, 062","00, 01, 062","00, 02, 062","00, 03, 062","00, 04, 062","00, 05, 062","00, 06, 062","00, 07, 062","00, 08, 062","00, 09, 062","00, 10, 062","00, 11, 062","00, 12, 062","00, 13, 062","00, 14, 062","00, 15, 062","00, 16, 062","00, 17, 062","00, 18, 062","00, 19, 062"
"00, 00, 063","00, 01, 063","00, 02, 063","00, 03, 063","00, 04, 063","00, 05, 063","00, 06, 063","00, 07, 063","00, 08, 063","00, 09, 063","00, 10, 063","00, 11, 063","00, 12, 063","00, 13, 063","00, 14, 063","00, 15, 063","00, 16, 063","00, 17, 063","00, 18, 063","00, 19, 063"
"00, 00, 064","00, 01, 064","00, 02, 064","00, 03, 064","00, 04, 064","00, 05, 064","00, 06, 064","00, 07, 064","00, 08, 064","00, 09, 064","00, 10, 064","00, 11, 064","00, 12, 064","00, 13, 064","00, 14, 064","00, 15, 064","00, 16, 064","00, 17, 064","00, 18, 064","00, 19, 064"
"00, 00, 065","00, 01, 065","00, 02, 065","00, 03, 065","00, 04, 065","00, 05, 065","00, 06, 065","00, 07, 065","00, 08, 065","00, 09, 065","00, 10, 065","00, 11, 065","00, 12, 065","00, 13, 065","00, 14, 065","00, 15, 065","00, 16, 065","00, 17, 065","00, 18, 065","00, 19, 065"
"00, 00, 066","00, 01, 066","00, 02, 066","00, 03, 066","00, 04, 066","00, 05, 066","00, 06, 066","00, 07, 066","00, 08, 066","00, 09, 066","00, 10, 066","00, 11, 066","00, 12, 066","00, 13, 066","00, 14, 066","00, 15, 066","00, 16, 066","00, 17, 066","00, 18, 066","00, 19, 066"
"00, 00, 067","00, 01, 067","00, 02, 067","00, 03, 067","00, 04, 067","00, 05, 067","00, 06, 067","00, 07, 067","00, 08, 067","00, 09, 067","00, 10, 067","00, 11, 067","00, 12, 067","00, 13, 067","00, 14, 067","00, 15, 067","00, 16, 067","00, 17, 067","00, 18, 067","00, 19, 067"
"00, 00, 068","00, 01, 068","00, 02, 068","00, 03, 068","00, 04, 068","00, 05, 068","00, 06, 068","00, 07, 068","00, 08, 068","00, 09, 068","00, 10, 068","00, 11, 068","00, 12, 068","00, 13, 068","00, 14, 068","00, 15, 068","00, 16, 068","00, 17, 068","00, 18, 068","00, 19, 068"
"00, 00, 069","00, 01, 069","00, 02, 069","00, 03, 069","00, 04, 069","00, 05, 069","00, 06, 069","00, 07, 069","00, 08, 069","00, 09, 069","00, 10, 069","00, 11, 069","00, 12, 069","00, 13, 069","00, 14, 069","00, 15, 069","00, 16, 069","00, 17, 069","00, 18, 069","00, 19, 069"
"00, 00, 070","00, 01, 070","00, 02, 070","00, 03, 070","00, 04, 070","00, 05, 070","00, 06, 070","00, 07, 070","00, 08, 070","00, 09, 070","00, 10, 070","00, 11, 070","00, 12, 070","00, 13, 070","00, 14, 070","00, 15, 070","00, 16, 070","00, 17, 070","00, 18, 070","00, 19, 070"
"00, 00, 071","00, 01, 071","00, 02, 071","00, 03, 071","00, 04, 071","00, 05, 071","00, 06, 071","00, 07, 071","00, 08, 071","00, 09, 071","00, 10, 071","00, 11, 071","00, 12, 071","00, 13, 071","00, 14, 071","00, 15, 071","00, 16, 071","00, 17, 071","00, 18, 071","00, 19, 071"
"00, 00, 072","00, 01, 072","00, 02, 072","00, 03, 072","00, 04, 072","00, 05, 072","00, 06, 072","00, 07, 072","00, 08, 072","00, 09, 072","00, 10, 072","00, 11, 072","00, 12, 072","00, 13, 072","00, 14, 072","00, 15, 072","00, 16, 072","00, 17, 072","00, 18, 072","00, 19, 072"
"00, 00, 073","00, 01, 073","00, 02, 073","00, 03, 073","00, 04, 073","00, 05, 073","00, 06, 073","00, 07, 073","00, 08, 073","00, 09, 073","00, 10, 073","00, 11, 073","00, 12, 073","00, 13, 073","00, 14, 073","00, 15, 073","00, 16, 073","00, 17, 073","00, 18, 073","00, 19, 073"
"00, 00, 074","00, 01, 074","00, 02, 074","00, 03, 074","00, 04, 074","00, 05, 074","00, 06, 074","00, 07, 074","00, 08, 074","00, 09, 074","00, 10, 074","00, 11, 074","00, 12, 074","00, 13, 074","00, 14, 074","00, 15, 074","00, 16, 074","00, 17, 074","00, 18, 074","00, 19, 074"
"00, 00, 075","00, 01, 075","00, 02, 075","00, 03, 075","00, 04, 075","00, 05, 075","00, 06, 075","00, 07, 075","00, 08, 075","00, 09, 075","00, 10, 075","00, 11, 075","00, 12, 075","00, 13, 075","00, 14, 075","00, 15, 075","00, 16, 075","00, 17, 075","00, 18, 075","00, 19, 075"
"00, 00, 076","00, 01, 076","00, 02, 076","00, 03, 076","00, 04, 076","00, 05, 076","00, 06, 076","00, 07, 076","00, 08, 076","00, 09, 076","00, 10, 076","00, 11, 076","00, 12, 076","00, 13, 076","00, 14, 076","00, 15, 076","00, 16, 076","00, 17, 076","00, 18, 076","00, 19, 076"
"00, 00, 077","00, 01, 077","00, 02, 077","00, 03, 077","00, 04, 077","00, 05, 077","00, 06, 077","00, 07, 077","00, 08, 077","00, 09, 077","00, 10, 077","00, 11, 077","00, 12, 077","00, 13, 077","00, 14, 077","00, 15, 077","00, 16, 077","00, 17, 077","00, 18, 077","00, 19, 077"
"00, 00, 078","00, 01, 078","00, 02, 078","00, 03, 078","00, 04, 078","00, 05, 078","00, 06, 078","00, 07, 078","00, 08, 078","00, 09, 078","00, 10, 078","00, 11, 078","00, 12, 078","00, 13, 078","00, 14, 078","00, 15, 078","00, 16, 078","00, 17, 078","00, 18, 078","00, 19, 078"
"00, 00, 079","00, 01, 079","00, 02, 079","00, 03, 079","00, 04, 079","00, 05, 079","00, 06, 079","00, 07, 079","00, 08, 079","00, 09, 079","00, 10, 079","00, 11, 079","00, 12, 079","00, 13, 079","00, 14, 079","00, 15, 079","00, 16, 079","00, 17, 079","00, 18, 079","00, 19, 079"
"00, 00, 080","00, 01, 080","00, 02, 080","00, 03, 080","00, 04, 080","00, 05, 080","00, 06, 080","00, 07, 080","00, 08, 080","00, 09, 080","00, 10, 080","00, 11, 080","00, 12, 080","00, 13, 080","00, 14, 080","00, 15, 080","00, 16, 080","00, 17, 080","00, 18, 080","00, 19, 080"
"00, 00, 081","00, 01, 081","00, 02, 081","00, 03, 081","00, 04, 081","00, 05, 081","00, 06, 081","00, 07, 081","00, 08, 081","00, 09, 081","00, 10, 081","00, 11, 081","00, 12, 081","00, 13, 081","00, 14, 081","00, 15, 081","00, 16, 081","00, 17, 081","00, 18, 081","00, 19, 081"
"00, 00, 082","00, 01, 082","00, 02, 082","00, 03, 082","00, 04, 082","00, 05, 082","00, 06, 082","00, 07, 082","00, 08, 082","00, 09, 082","00, 10, 082","00, 11, 082","00, 12, 082","00, 13, 082","00, 14, 082","00, 15, 082","00, 16, 082","00, 17, 082","00, 18, 082","00, 19, 082"
"00, 00, 083","00, 01, 083","00, 02, 083","00, 03, 083","00, 04, 083","00, 05, 083","00, 06, 083","00, 07, 083","00, 08, 083","00, 09, 083","00, 10, 083","00, 11, 083","00, 12, 083","00, 13, 083","00, 14, 083","00, 15, 083","00, 16, 083","00, 17, 083","00, 18, 083","00, 19, 083"
"00, 00, 084","00, 01, 084","00, 02, 084","00, 03, 084","00, 04, 084","00, 05, 084","00, 06, 084","00, 07, 084","00, 08, 084","00, 09, 084","00, 10, 084","00, 11, 084","00, 12, 084","00, 13, 084","00, 14, 084","00, 15, 084","00, 16, 084","00, 17, 084","00, 18, 084","00, 19, 084"
